0,CombatZoneResize,244,251,608,474,TLResume,,
0,HeartTeleport,320,304,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,SET,Loop,5,,,,,
0,:RndAttack,,,,,,,
0,BlackScreen,1,,,,,,
0,Sound,Flash,,,,,,
0.4,BlackScreen,0,,,,,,
0,Sound,Flash,,,,,,
0,JMPZ,End,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,5,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPABS,Attack0,,,,,,
0,JMPABS,Attack1,,,,,,
0,JMPABS,Attack2,,,,,,
0,JMPABS,Attack3,,,,,,
0,JMPABS,Attack4,,,,,,
0,:Attack0,,,,,,,
0,CombatZoneResizeInstant,244,276,626,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,432,376,,,,,
0,BoneVRepeat,240,341,45,0,240,4,16
0,BoneV,176,286,100,0,240,,
0,BoneVRepeat,624,341,45,2,240,4,16
0,BoneV,688,286,100,2,240,,
0.9,JMPABS,RndAttack,,,,,,
0,:Attack1,,,,,,,
0,CombatZoneResizeInstant,244,276,626,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,442,376,,,,,
0,BoneV,250,286,100,0,240,1,
0,BoneV,178,366,20,0,240,0,
0,BoneV,146,286,100,0,240,0,
0,BoneV,634,286,100,2,240,1,
0,BoneV,706,366,20,2,240,0,
0,BoneV,738,286,100,2,240,0,
1.1,JMPABS,RndAttack,,,,,,
0,:Attack2,,,,,,,
0,CombatZoneResizeInstant,244,276,549,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,393,376,,,,,
0,SET,Total,0,,,,,
0,SET,Loop2,0,,,,,
0,:Attack2Begin,,,,,,,
0,RND,Choice,3,,,,,
0,ADD,HeightB,$Choice,2,,,,
0,MUL,HeightB,$HeightB,10,,,,
0,SET,RndSpeed,0,,,,,
0,JMPZ,SkipRndSpeed,$Loop2,,,,,
0,RND,RndSpeed,3,,,,,
0,SUB,RndSpeed,$RndSpeed,1,,,,
0,MUL,RndSpeed,$RndSpeed,2,,,,
0,:SkipRndSpeed,,,,,,,
0,SUB,HeightT,86,$HeightB,,,,
0,SUB,YB,386,$HeightB,,,,
0,MUL,X,$Loop2,22,,,,
0,ADD,X,$X,25,,,,
0,ADD,X,$X,$Total,,,,
0,ADD,SpeedL,6,$RndSpeed,,,,
0,MUL,XL,$X,$SpeedL,,,,
0,SUB,XL,320,$XL,,,,
0,MUL,SpeedL,$SpeedL,30,,,,
0,MUL,RndSpeed,$RndSpeed,-1,,,,
0,ADD,SpeedR,6,$RndSpeed,,,,
0,MUL,XR,$X,$SpeedR,,,,
0,ADD,XR,466,$XR,,,,
0,MUL,SpeedR,$SpeedR,30,,,,
0,BoneV,$XL,282,$HeightT,0,$SpeedL,,
0,BoneV,$XL,$YB,$HeightB,0,$SpeedL,,
0,BoneV,$XR,282,$HeightT,2,$SpeedR,,
0,BoneV,$XR,$YB,$HeightB,2,$SpeedR,,
0,MUL,TotalInc,$Choice,5,,,,
0,ADD,Total,$Total,$TotalInc,,,,
0,ADD,Loop2,$Loop2,1,,,,
0,JMPL,Attack2Begin,$Loop2,4,,,,
1.9,JMPABS,RndAttack,,,,,,
0,:Attack3,,,,,,,
0,CombatZoneResizeInstant,244,276,549,391,,,
0,HeartMode,1,,,,,,
0,HeartTeleport,393,376,,,,,
0,BoneVRepeat,273,282,70,0,150,3,125
0,BoneVRepeat,273,371,15,0,150,3,125
0,BoneVRepeat,513,282,70,2,150,3,125
0,BoneVRepeat,513,371,15,2,150,3,125
1.7,JMPABS,RndAttack,,,,,,
0,:Attack4,,,,,,,
0,CombatZoneResizeInstant,244,276,629,391,,,
0,HeartMode,1,,,,,,
0,RND,Side,2,,,,,
0,JMPZ,Attack4Other,$Side,,,,,
0,HeartTeleport,609,376,,,,,
0,BoneVRepeat,303,331,55,0,360,11,24
0,BoneVRepeat,39,371,15,0,360,10,24
1.5,JMPABS,RndAttack,,,,,,
0,:Attack4Other,,,,,,,
0,HeartTeleport,262,376,,,,,
0,BoneVRepeat,543,331,55,2,360,11,24
0,BoneVRepeat,807,371,15,2,360,10,24
1.5,JMPABS,RndAttack,,,,,,
0,:End,,,,,,,
0,CombatZoneResizeInstant,244,251,608,474,,,
0,EndAttack,,,,,,,
